Day,Day Label,Variable name,Stress,Frustration,Threat,Harm,Challenge,Benefit
1,epu - 3,epant3,4.06,0.93,0.95,0.53,1.18,0.89
3,epu - 2,epant2,4.01,0.91,1.06,0.53,1.14,0.91
5,epu - 1,epant1,4.62,0.94,1.11,0.52,1.23,1.01
7,epu svy,epout1,5.02,0.93,1.19,0.72,1.22,1.19
9,epu + 1,epout2,4.34,1.07,1.15,0.68,1.18,1.12
11,et - 2,etant2,4.47,1.11,1.15,0.64,1.34,1.21
13,et - 1,etant1,4.36,1.06,1.16,0.48,1.32,1.03
15,et svy,etsvy,4.31,1.01,1.16,0.40,1.56,1.62
17,et + 1,etwt1,4.31,1.19,1.09,0.46,1.36,1.02
19,et + 2,etwt2,4.87,1.32,1.41,0.53,1.08,0.79
21,et + 3,etwt3,5.09,1.57,1.45,0.91,0.98,0.74
23,et + 4,etwt4,5.43,1.58,1.63,0.97,1.04,0.91
25,out - 2,oant2,4.35,1.23,1.18,0.57,1.14,0.93
27,out - 1,oant1,4.66,1.34,1.30,0.79,1.05,0.91
29,out svy,out1,4.71,1.27,1.35,1.07,1.12,1.17
31,final svy,out2,4.14,1.17,1.17,1.11,1.10,1.05